NEIGHBOURHOOD_NAME,year,count
WEST POINT GREY,2004,104
WEST POINT GREY,2003,67
WEST POINT GREY,2002,55
WEST POINT GREY,2001,48
WEST POINT GREY,2000,57
WEST POINT GREY,1999,128
WEST POINT GREY,1998,66
WEST POINT GREY,1997,72
WEST POINT GREY,1996,144
WEST POINT GREY,1995,80
WEST POINT GREY,1994,19
WEST POINT GREY,1993,54
WEST POINT GREY,1992,45
WEST POINT GREY,1991,15
WEST POINT GREY,1990,18
WEST POINT GREY,1989,4
